,ID,Data_year,Occupation,Age,Mortality,Denominator,Social_class,InOut,Age_cat,Social_cat,Year
272,660,1890-1892,"Cotton, flax, linen, manufacture (Lancashire)",20-24,211,78417,6,1,2,2,1890
294,1002,1890-1892,"Dock labourer, wharf labourer",15-19,6,16575,5,0,1,2,1890
337,1030,1890-1892,"Farm labourer, farm servant",15-19,100,330042,8,0,1,2,1890
486,239,1890-1892,"Inn, hotel, servant (rural districts)",15-19,1,2292,4,2,1,2,1890
787,407,1890-1892,"Tallow, soap manufacture",15-19,2,3564,5,1,1,2,1890
788,408,1890-1892,"Tallow, soap manufacture",20-24,2,2529,5,1,2,2,1890
789,409,1890-1892,"Tallow, soap manufacture",25-34,13,4254,5,1,3,2,1890
790,410,1890-1892,"Tallow, soap manufacture",35-44,8,3645,5,1,4,2,1890
791,411,1890-1892,"Tallow, soap manufacture",45-54,10,2562,5,1,5,2,1890
792,412,1890-1892,"Tallow, soap manufacture",55-64,3,1800,5,1,6,2,1890
793,413,1890-1892,"Tallow, soap manufacture",>65,5,909,5,1,7,2,1890
990,1990,1900-1902,"Carman, carrier, &c",45-54,314,124473,5,0,5,2,1900
1195,934,1900-1902,Domestic indoor servant,25-34,89,42699,4,2,3,2,1900
1599,962,1900-1902,"Railway guard, porter, pointsman, &c",20-24,183,128430,3,2,2,2,1900
1702,1289,1900-1902,"Tallow, soap manufacture",15-19,3,5370,5,1,1,2,1900
1703,1290,1900-1902,"Tallow, soap manufacture",20-24,7,4356,5,1,2,2,1900
1704,1291,1900-1902,"Tallow, soap manufacture",25-34,9,7671,5,1,3,2,1900
1705,1292,1900-1902,"Tallow, soap manufacture",35-44,11,5844,5,1,4,2,1900
1706,1293,1900-1902,"Tallow, soap manufacture",45-54,7,4086,5,1,5,2,1900
1707,1294,1900-1902,"Tallow, soap manufacture",55-64,3,2154,5,1,6,2,1900
1708,1295,1900-1902,"Tallow, soap manufacture",>65,3,960,5,1,7,2,1900
2388,1879,1910-1912,Gamekeeper,45-54,4,5556,3,0,5,2,1910
3038,2642,1910-1912,"Tallow, soap manufacture",15-19,2,5034,5,1,1,2,1910
3046,2635,1910-1912,"Tallow, soap manufacture",20-24,12,6612,5,1,2,2,1910
3047,2636,1910-1912,"Tallow, soap manufacture",25-34,6,12879,5,1,3,2,1910
3048,2637,1910-1912,"Tallow, soap manufacture",35-44,12,10518,5,1,4,2,1910
3049,2638,1910-1912,"Tallow, soap manufacture",45-54,6,7089,5,1,5,2,1910
3050,2639,1910-1912,"Tallow, soap manufacture",55-64,10,3984,5,1,6,2,1910
3051,2640,1910-1912,"Tallow, soap manufacture",65-74,3,1599,5,1,7,2,1910
